,date,nav
868,22-12-2022,125.96630
869,21-12-2022,128.15640
870,20-12-2022,130.28140
871,19-12-2022,129.92220
872,16-12-2022,129.88910
873,15-12-2022,130.95910
874,14-12-2022,131.99510
875,13-12-2022,131.07840
876,12-12-2022,130.62560
877,09-12-2022,130.59030
878,08-12-2022,131.32880
879,07-12-2022,130.61840
880,06-12-2022,130.92860
881,05-12-2022,131.04080
882,02-12-2022,130.68550
883,01-12-2022,130.27580
884,30-11-2022,129.50970
885,29-11-2022,128.54400
886,28-11-2022,129.01660
887,25-11-2022,128.55620
888,24-11-2022,128.25670
889,23-11-2022,127.74930
890,22-11-2022,127.42690
891,21-11-2022,127.65350
892,18-11-2022,127.40220
893,17-11-2022,128.07440
894,16-11-2022,128.11350
895,15-11-2022,127.40280
896,14-11-2022,127.49320
897,11-11-2022,127.74700
898,10-11-2022,127.72200
899,09-11-2022,128.44300
900,07-11-2022,128.99030
901,04-11-2022,128.61500
902,03-11-2022,128.43450
903,02-11-2022,128.45680
904,01-11-2022,127.86030
905,31-10-2022,127.64110
906,28-10-2022,127.84950
907,27-10-2022,128.57420
908,25-10-2022,128.14430
909,21-10-2022,127.68500
910,20-10-2022,128.71590
911,19-10-2022,128.66490
912,18-10-2022,128.08460
913,17-10-2022,127.49360
914,14-10-2022,127.33710
915,13-10-2022,127.08320
916,12-10-2022,127.81170
917,11-10-2022,127.55030
918,10-10-2022,128.28790
919,07-10-2022,129.38890
920,06-10-2022,128.88440
921,04-10-2022,128.24360
922,03-10-2022,127.13510
923,30-09-2022,126.73840
924,29-09-2022,125.20230
925,28-09-2022,124.43190
926,27-09-2022,124.64060
927,26-09-2022,123.84370
928,23-09-2022,126.96710
929,22-09-2022,128.60600
930,21-09-2022,128.62300
931,20-09-2022,128.89830
932,19-09-2022,127.81660
933,16-09-2022,128.00290
934,15-09-2022,130.84770
935,14-09-2022,131.51050
936,13-09-2022,130.99840
937,12-09-2022,131.27110
938,09-09-2022,130.16620
939,08-09-2022,129.83880
940,07-09-2022,128.99030
941,06-09-2022,127.81200
942,05-09-2022,126.98830
943,02-09-2022,126.10910
944,01-09-2022,124.82650
945,30-08-2022,124.71270
946,29-08-2022,123.24180
947,26-08-2022,123.65620
948,25-08-2022,123.25720
949,24-08-2022,122.91310
950,23-08-2022,122.13780
951,22-08-2022,121.15940
952,19-08-2022,121.89630
953,18-08-2022,123.10310
954,17-08-2022,122.70030
955,16-08-2022,122.57980
956,12-08-2022,122.14650
957,11-08-2022,122.04360
958,10-08-2022,121.78950
959,08-08-2022,120.85290
960,05-08-2022,119.50010
961,04-08-2022,119.53510
962,03-08-2022,119.36710
963,02-08-2022,119.67090
964,01-08-2022,118.42850
965,29-07-2022,115.82620
966,28-07-2022,115.42120
967,27-07-2022,114.22380
968,26-07-2022,113.93630
969,25-07-2022,114.32510
970,22-07-2022,114.09000
971,21-07-2022,113.40940
972,20-07-2022,112.98680
973,19-07-2022,112.80460
974,18-07-2022,111.93220
975,15-07-2022,111.19870
976,14-07-2022,110.55230
977,13-07-2022,110.68760
978,12-07-2022,110.52170
979,11-07-2022,111.37350
980,08-07-2022,110.32050
981,07-07-2022,110.09590
982,06-07-2022,109.45310
983,05-07-2022,108.90190
984,04-07-2022,108.08600
985,01-07-2022,107.25110
986,30-06-2022,107.34470
987,29-06-2022,107.52980
988,28-06-2022,107.84570
989,27-06-2022,107.74300
990,24-06-2022,106.56300
991,23-06-2022,105.58260
992,22-06-2022,104.27180
993,21-06-2022,104.87010
994,20-06-2022,103.20490
995,17-06-2022,104.89110
996,16-06-2022,105.83600
997,15-06-2022,107.95690
998,14-06-2022,107.76550
999,13-06-2022,108.19730
1000,10-06-2022,110.36110
1001,09-06-2022,110.77300
1002,08-06-2022,110.69600
1003,07-06-2022,110.87410
1004,06-06-2022,111.46800
1005,03-06-2022,111.68540
1006,02-06-2022,113.04470
1007,01-06-2022,113.04690
1008,31-05-2022,111.39850
1009,30-05-2022,110.88540
1010,27-05-2022,109.12390
1011,26-05-2022,109.06410
1012,25-05-2022,108.47360
1013,24-05-2022,110.35920
1014,23-05-2022,110.71940
1015,20-05-2022,110.52060
1016,19-05-2022,109.17370
1017,18-05-2022,110.42420
1018,17-05-2022,110.51260
1019,16-05-2022,108.38100
1020,13-05-2022,107.04810
1021,12-05-2022,106.82650
1022,11-05-2022,108.19240
1023,10-05-2022,109.62780
1024,09-05-2022,111.10720
1025,06-05-2022,111.91700
1026,05-05-2022,113.39280
1027,04-05-2022,113.54790
1028,02-05-2022,115.66750
1029,29-04-2022,116.43710
1030,28-04-2022,117.26540
1031,27-04-2022,116.32390
1032,26-04-2022,116.53810
1033,25-04-2022,115.73640
1034,22-04-2022,116.98770
1035,21-04-2022,117.06810
1036,20-04-2022,116.07930
1037,19-04-2022,116.06710
1038,18-04-2022,117.00860
1039,13-04-2022,117.55220
1040,12-04-2022,117.62720
1041,11-04-2022,118.74340
1042,08-04-2022,118.15900
1043,07-04-2022,117.38080
1044,06-04-2022,117.96150
1045,05-04-2022,117.67290
1046,04-04-2022,116.18190
1047,01-04-2022,114.86550
1048,31-03-2022,113.38810
1049,30-03-2022,113.39380
1050,29-03-2022,112.83300
1051,28-03-2022,111.37730
1052,25-03-2022,111.84140
1053,24-03-2022,112.12900
1054,23-03-2022,112.05940
1055,22-03-2022,111.81360
1056,21-03-2022,111.80340
1057,17-03-2022,112.12780
1058,16-03-2022,111.49960
1059,15-03-2022,110.79150
1060,14-03-2022,111.37760
1061,11-03-2022,110.39590
1062,10-03-2022,109.83990
1063,09-03-2022,108.75360
1064,08-03-2022,107.10740
1065,07-03-2022,106.65620
1066,04-03-2022,108.44320
1067,03-03-2022,109.95230
1068,02-03-2022,109.78980
1069,28-02-2022,109.87350
1070,25-02-2022,109.14470
1071,24-02-2022,105.59190
1072,23-02-2022,109.88920
1073,22-02-2022,109.24150
1074,21-02-2022,110.55550
1075,18-02-2022,112.61630
1076,17-02-2022,113.00940
1077,16-02-2022,113.47020
1078,15-02-2022,112.28590
1079,14-02-2022,111.16490
1080,11-02-2022,114.58050
1081,10-02-2022,116.36100
1082,09-02-2022,116.66280
1083,08-02-2022,116.98970
1084,07-02-2022,118.12130
1085,04-02-2022,118.17790
1086,03-02-2022,117.93840
1087,02-02-2022,118.29250
1088,01-02-2022,116.86150
1089,31-01-2022,115.13830
1090,28-01-2022,113.75420
1091,27-01-2022,113.46440
1092,25-01-2022,114.92650
1093,24-01-2022,113.83880
1094,21-01-2022,118.88710
1095,20-01-2022,120.13110
1096,19-01-2022,120.16820
1097,18-01-2022,120.37380
1098,17-01-2022,121.88900
1099,14-01-2022,121.51440
1100,13-01-2022,120.61450
1101,12-01-2022,120.50300
1102,11-01-2022,119.21220
1103,10-01-2022,119.25900
1104,07-01-2022,118.05780
1105,06-01-2022,118.07800
1106,05-01-2022,117.84490
1107,04-01-2022,117.99370
1108,03-01-2022,117.82950
1109,31-12-2021,116.51350
1110,30-12-2021,115.03920
1111,29-12-2021,115.10700
1112,28-12-2021,114.18700
1113,27-12-2021,113.10130
1114,24-12-2021,113.00340
1115,23-12-2021,114.06030
1116,22-12-2021,113.50080
1117,21-12-2021,112.13470
1118,20-12-2021,111.42910
1119,17-12-2021,114.41820
1120,16-12-2021,115.56210
1121,15-12-2021,116.73340
1122,14-12-2021,116.56610
1123,13-12-2021,116.67310
1124,10-12-2021,117.02950
1125,09-12-2021,116.41890
1126,08-12-2021,115.99550
1127,07-12-2021,115.56930
1128,06-12-2021,114.23750
1129,03-12-2021,115.49890
1130,02-12-2021,115.18030
1131,01-12-2021,114.52250
1132,30-11-2021,114.60610
1133,29-11-2021,112.04060
1134,26-11-2021,113.75810
1135,25-11-2021,117.33650
1136,24-11-2021,116.93820
1137,23-11-2021,115.76250
1138,22-11-2021,114.56340
1139,18-11-2021,116.99580
1140,17-11-2021,118.15130
1141,16-11-2021,118.62130
1142,15-11-2021,119.23900
1143,12-11-2021,119.29120
1144,11-11-2021,118.42350
1145,10-11-2021,117.90590
1146,09-11-2021,117.90770
1147,08-11-2021,117.30550
1148,03-11-2021,115.52220
1149,02-11-2021,115.51780
1150,01-11-2021,114.25790
1151,29-10-2021,113.67150
1152,28-10-2021,113.47500
1153,27-10-2021,114.11780
1154,26-10-2021,113.51630
1155,25-10-2021,111.99620
1156,22-10-2021,113.43480
1157,21-10-2021,113.88610
1158,20-10-2021,113.49120
1159,19-10-2021,116.25450
1160,18-10-2021,117.52220
1161,14-10-2021,116.69190
1162,13-10-2021,116.44360
1163,12-10-2021,115.22740
1164,11-10-2021,115.13360
1165,08-10-2021,114.39720
1166,07-10-2021,113.95120
1167,06-10-2021,112.53830
1168,05-10-2021,112.87150
1169,04-10-2021,112.83350
1170,01-10-2021,110.93850
1171,30-09-2021,110.16720
1172,29-09-2021,109.48820
1173,28-09-2021,109.44540
1174,27-09-2021,109.31300
1175,24-09-2021,109.54360
1176,23-09-2021,110.20110
1177,22-09-2021,109.01440
1178,21-09-2021,107.98110
1179,20-09-2021,107.53320
1180,17-09-2021,109.08420
1181,16-09-2021,110.18800
1182,15-09-2021,110.32950
1183,14-09-2021,109.56390
1184,13-09-2021,108.35570
1185,09-09-2021,108.12890
1186,08-09-2021,107.14160
1187,07-09-2021,106.92630
1188,06-09-2021,107.11490
1189,03-09-2021,106.51710
1190,02-09-2021,106.49160
1191,01-09-2021,105.66160
1192,31-08-2021,105.62140
1193,30-08-2021,104.64800
1194,27-08-2021,102.81370
1195,26-08-2021,102.16200
1196,25-08-2021,101.53200
1197,24-08-2021,101.07150
1198,23-08-2021,100.06500
1199,20-08-2021,101.31540
1200,18-08-2021,102.77920
1201,17-08-2021,102.99480
1202,16-08-2021,102.68180
1203,13-08-2021,103.11560
1204,12-08-2021,102.83510
1205,11-08-2021,101.57780
1206,10-08-2021,102.73900
1207,09-08-2021,104.26970
1208,06-08-2021,104.80690
1209,05-08-2021,104.99800
1210,04-08-2021,105.45790
1211,03-08-2021,106.39290
1212,02-08-2021,106.10170
1213,30-07-2021,105.37140
1214,29-07-2021,104.89030
1215,28-07-2021,103.61700
1216,27-07-2021,103.89140
1217,26-07-2021,104.40830
1218,23-07-2021,104.39720
1219,22-07-2021,104.15310
1220,20-07-2021,103.36030
1221,19-07-2021,104.80460
1222,16-07-2021,104.99140
1223,15-07-2021,105.06950
1224,14-07-2021,105.25640
1225,13-07-2021,104.67460
1226,12-07-2021,104.10410
1227,09-07-2021,103.16640
1228,08-07-2021,103.09630
1229,07-07-2021,103.59810
1230,06-07-2021,102.89880
1231,05-07-2021,102.47920
1232,02-07-2021,101.80670
1233,01-07-2021,101.14200
1234,30-06-2021,100.97560
1235,29-06-2021,100.50420
1236,28-06-2021,100.78620
1237,25-06-2021,100.11550
1238,24-06-2021,99.77290
1239,23-06-2021,99.71000
1240,22-06-2021,99.36600
1241,21-06-2021,98.81950
1242,18-06-2021,98.43440
1243,17-06-2021,98.60260
1244,16-06-2021,99.13380
1245,15-06-2021,99.60140
1246,14-06-2021,99.23390
1247,11-06-2021,99.83450
1248,10-06-2021,99.96540
1249,09-06-2021,99.00360
1250,08-06-2021,100.11220
1251,07-06-2021,99.94910
1252,04-06-2021,98.85390
1253,03-06-2021,98.12500
1254,02-06-2021,98.07960
1255,01-06-2021,97.20440
1256,31-05-2021,97.38000
1257,28-05-2021,97.24830
1258,27-05-2021,97.90630
1259,26-05-2021,97.34370
1260,25-05-2021,96.89920
1261,24-05-2021,96.03050
1262,21-05-2021,95.39140
1263,20-05-2021,95.03160
1264,19-05-2021,94.75580
1265,18-05-2021,93.92250
1266,17-05-2021,92.95850
1267,14-05-2021,92.27650
1268,12-05-2021,92.91240
1269,11-05-2021,93.57370
1270,10-05-2021,92.84600
1271,07-05-2021,92.21350
1272,06-05-2021,92.11860
1273,05-05-2021,92.05770
1274,04-05-2021,91.36260
1275,03-05-2021,91.38280
1276,30-04-2021,90.47520
1277,29-04-2021,90.61730
1278,28-04-2021,90.33200
1279,27-04-2021,89.57120
1280,26-04-2021,88.55580
1281,23-04-2021,87.91490
1282,22-04-2021,87.76700
1283,20-04-2021,87.19480
1284,19-04-2021,86.77830
1285,16-04-2021,87.38880
1286,15-04-2021,87.12590
1287,13-04-2021,86.95160
